Category,TypeProduct_Desc,STYLE,Retail_SubClass_Desc,Style_Estimated_Cost,Gender_Desc,Country_Cd,eaFabricCost,eaCMCost,eaTrimCost,eaArtCost,eaWashCost,eaOtherCost,eaFOB,LandingCosts,All.empty,Selling Season,Yesr,Month,Made Year,Minimum Wage (USD)
_APPAREL,KNIT,Bottoms,Pant,50.6394,Girl,KH,16.38,14.28,3.15,0,2.1,4.2,40.11,10.5294,No,Winter,2015,1,2015,
_APPAREL,KNIT,Bottoms,Pant,49.0917,Girl,KH,16.38,14.28,3.15,0,2.1,2.94,38.85,10.2417,No,Winter,2015,1,2015,
_APPAREL,KNIT,Bottoms,Pant,49.0917,Boy,KH,16.38,14.28,3.15,0,2.1,2.94,38.85,10.2417,No,Winter,2015,1,2015,
_APPAREL,KNIT,Bottoms,Pant,49.6062,Uni,KH,16.38,14.28,3.15,0,2.1,3.36,39.27,10.3362,No,Winter,2015,1,2015,
ACCESSORIES,SOCKS,Accessories,Sock,26.7099,Boy,TW,7.14,14.28,0,0,0,1.26,22.68,4.0299,No,Winter,2016,1,2016,
_APPAREL,KNIT,Tops,Graphics,50.7087,Boy,IN,13.86,14.28,2.1,6.3,0.84,2.52,39.9,10.8087,No,Winter,2016,1,2016,140.305308
_APPAREL,KNIT,Tops,Knit Top,69.321,Girl,ID,19.53,14.49,0,16.38,2.1,0,54.6,14.721,No,Winter,2015,1,2015,216
_APPAREL,KNIT,Tops,Knit Top,77.0805,Girl,IN,18.27,14.49,12.81,13.23,0.84,1.26,60.9,16.1805,No,Winter,2016,1,2016,140.305308
_APPAREL,KNIT,Tops,Knit Top,74.2056,Girl,IN,14.7,14.49,12.81,13.23,0.84,2.52,58.59,15.6156,No,Winter,2016,1,2016,140.305308
_APPAREL,KNIT,Tops,Knit Top,66.8325,Girl,VN,25.2,14.7,0,10.5,2.1,0,52.5,14.3325,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Tops,Polos,79.3023,Boy,VN,33.6,14.7,7.35,0,2.1,3.15,60.9,18.4023,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Tops,Knit Top,62.769,Boy,ID,28.35,14.7,4.2,0,1.05,1.26,49.56,13.209,No,Winter,2015,1,2015,216
_APPAREL,KNIT,Bottoms,Knit Pant,98.931,Boy,BD,57.75,14.7,4.2,0,1.05,1.05,78.75,20.181,No,Winter,2015,1,2015,68.37
_APPAREL,KNIT,Bottoms,Knit Pant,92.1711,Boy,VN,39.9,14.7,12.6,0,2.1,3.99,73.29,18.8811,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Knit Pant,91.14,Boy,VN,39.9,14.7,12.6,0,2.1,3.15,72.45,18.69,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Knit Pant,91.9191,Boy,VN,39.9,14.7,12.6,0,2.1,3.78,73.08,18.8391,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Knit Pant,124.9038,Boy,VN,39.9,14.7,12.6,0,2.1,3.15,99.75,25.1538,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Tops,Knit Top,63.8106,Boy,ID,30.24,14.7,4.2,0,1.05,0.21,50.4,13.4106,No,Winter,2015,1,2015,216
_APPAREL,KNIT,Tops,Bodysuit,63.5166,Girl,TH,19.74,14.7,4.41,9.45,2.1,3.15,53.55,9.9666,No,Winter,2015,1,2015,
_APPAREL,KNIT,Bottoms,Pant,50.3811,Girl,KH,19.11,14.7,1.47,0,2.1,2.52,39.9,10.4811,No,Winter,2015,1,2015,
_APPAREL,KNIT,Swim,Swim,72.345,Boy,CN,23.94,14.7,0,11.55,0,1.26,51.45,20.895,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Bottoms,Pant,51.156,Girl,KH,14.7,14.7,3.15,2.52,2.1,3.36,40.53,10.626,No,Winter,2015,1,2015,
_APPAREL,KNIT,Tops,Bodysuit,63.2709,Uni,TH,19.11,14.7,4.41,9.45,2.1,3.57,53.34,9.9309,No,Winter,2015,1,2015,
_APPAREL,KNIT,Tops,Knit Top,56.1099,Girl,VN,20.37,14.7,3.15,0,2.1,3.78,44.1,12.0099,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Knit Pant,60.3771,Girl,VN,22.47,14.7,6.3,0,2.1,2.31,47.88,12.4971,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Bottoms,Skirts,79.569,Girl,VN,28.35,14.7,5.25,16.8,2.1,0,67.2,12.369,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Bottoms,Knit Pant,93.9288,Girl,VN,32.34,14.7,6.3,8.4,10.5,2.94,75.18,18.7488,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Tops,Knit Top,110.2332,Girl,VN,42.63,14.7,4.2,26.25,2.1,0,87.36,22.8732,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Tops,Polo/Rugby,110.0358,Boy,VN,73.5,14.7,4.2,0,2.1,2.1,87.15,22.8858,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Tops,Polo/Rugby,121.8,Boy,VN,73.5,14.7,4.2,0,2.1,2.1,96.6,25.2,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Tops,Polos,91.3206,Boy,VN,49.35,14.7,4.2,0,2.1,2.1,72.45,18.8706,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Pants,Leggings,42.0378,Girl,CN,13.23,14.7,2.1,0,2.1,1.05,33.18,8.8578,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Accessories,Hair,57.0339,Girl,CN,11.55,14.7,5.25,0,0,16.8,48.3,8.7339,No,Winter,2016,1,2016,309.31922
ACCESSORIES,SOCKS,Accessories,Sock,27.6843,Boy,TW,7.14,14.91,0,0,0,1.47,23.52,4.1643,No,Winter,2016,1,2016,
ACCESSORIES,SOCKS,Accessories,Sock,27.9279,Girl,TW,7.56,14.91,0,0,0,1.26,23.73,4.1979,No,Winter,2016,1,2016,
_APPAREL,KNIT,Tops,Bodysuit,57.4203,Girl,TH,17.43,15.12,5.04,6.09,2.1,2.52,48.3,9.1203,No,Winter,2015,1,2015,
_APPAREL,KNIT,Tops,Bodysuit,58.6404,Girl,TH,17.43,15.12,5.04,6.09,2.1,3.57,49.35,9.2904,No,Winter,2015,1,2015,
_APPAREL,KNIT,Tops,Bodysuit,54.9822,Boy,TH,17.43,15.12,5.04,6.09,2.1,2.52,46.2,8.7822,No,Winter,2015,1,2015,
_APPAREL,KNIT,Tops,Bodysuit,58.1511,Girl,TH,17.43,15.12,5.04,6.09,2.1,3.15,48.93,9.2211,No,Winter,2015,1,2015,
_APPAREL,KNIT,Tops,Bodysuit,58.1511,Boy,TH,17.43,15.12,5.04,6.09,2.1,3.15,48.93,9.2211,No,Winter,2015,1,2015,
_APPAREL,KNIT,Tops,Bodysuit,58.1511,Uni,TH,17.43,15.12,5.04,6.09,2.1,3.15,48.93,9.2211,No,Winter,2015,1,2015,
_APPAREL,KNIT,Tops,Knit Top,71.9355,Girl,ID,20.58,15.33,0,14.49,2.1,0,56.7,15.2355,No,Winter,2015,1,2015,216
_APPAREL,KNIT,Tops,Bodysuit,51.5697,Girl,KH,20.79,15.33,2.1,0,2.1,2.94,43.26,8.3097,No,Winter,2016,1,2016,
_APPAREL,KNIT,Tops,Bodysuit,52.5441,Girl,KH,16.17,15.33,2.1,6.3,2.1,2.1,44.1,8.4441,No,Winter,2016,1,2016,
_APPAREL,KNIT,Tops,Bodysuit,51.5697,Boy,KH,20.79,15.33,2.1,0,2.1,2.94,43.26,8.3097,No,Winter,2016,1,2016,
_APPAREL,KNIT,Tops,Bodysuit,52.5441,Boy,KH,16.17,15.33,2.1,6.3,2.1,2.1,44.1,8.4441,No,Winter,2016,1,2016,
_APPAREL,KNIT,Tops,Bodysuit,51.5697,Uni,KH,20.79,15.33,2.1,0,2.1,2.94,43.26,8.3097,No,Winter,2016,1,2016,
_APPAREL,KNIT,Tops,Bodysuit,52.5441,Uni,KH,16.17,15.33,2.1,6.3,2.1,2.1,44.1,8.4441,No,Winter,2016,1,2016,
_APPAREL,KNIT,Tops,Knit Top,66.7065,Girl,ID,22.89,15.54,0,11.97,2.1,0,52.5,14.2065,No,Winter,2015,1,2015,216
_APPAREL,KNIT,Tops,Bodysuit,54.9822,Girl,TH,17.43,15.54,2.52,6.09,2.1,2.52,46.2,8.7822,No,Winter,2015,1,2015,
_APPAREL,KNIT,Tops,Bodysuit,55.4694,Girl,TH,17.43,15.54,2.52,6.09,2.1,2.94,46.62,8.8494,No,Winter,2015,1,2015,
_APPAREL,KNIT,Tops,Bodysuit,55.4694,Girl,KH,21.63,15.54,4.41,0,2.1,2.94,46.62,8.8494,No,Winter,2015,1,2015,
_APPAREL,KNIT,Tops,Knit Top,121.0188,Girl,ID,75.39,15.75,2.94,0,1.68,6.09,101.85,19.1688,No,Winter,2015,1,2015,216
_APPAREL,KNIT,Bottoms,Knit Pant,72.4458,Girl,VN,33.6,15.75,6.3,0,2.1,0,57.75,14.6958,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Pant,49.0917,Uni,CN,14.7,15.75,3.15,3.15,1.05,1.05,38.85,10.2417,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Bottoms,Knit Pant,71.1543,Girl,VN,32.55,15.75,6.3,0,2.1,0,56.7,14.4543,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Skirt/Skort,62.5275,Girl,VN,28.35,15.75,8.4,0,0,0,52.5,10.0275,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Tops,Knit Top,74.844,Girl,VN,36.12,15.75,5.25,0,2.1,0,59.22,15.624,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Tops,Knit Top,63.9156,Girl,VN,18.9,15.75,6.3,7.35,2.1,0,50.4,13.5156,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Tops,Knit Cardigan,100.2141,Girl,BD,36.75,15.75,5.25,14.7,2.1,5.25,79.8,20.4141,No,Winter,2016,1,2016,67.31
_APPAREL,KNIT,Bottoms,Pant,55.5429,Girl,KH,18.48,15.75,2.52,3.15,2.1,2.1,44.1,11.4429,No,Winter,2016,1,2016,
ACCESSORIES,HATS,Accessories,Hat,47.4999,Girl,TH,17.43,15.75,0,5.25,0,2.1,40.53,6.9699,No,Winter,2016,1,2016,
_APPAREL,KNIT,Bottoms,Pant,55.5429,Boy,KH,18.48,15.75,2.52,3.15,2.1,2.1,44.1,11.4429,No,Winter,2016,1,2016,
ACCESSORIES,HATS,Accessories,Hat,47.4999,Boy,TH,17.43,15.75,0,5.25,0,2.1,40.53,6.9699,No,Winter,2016,1,2016,
_APPAREL,KNIT,Bottoms,Pant,58.1238,Uni,KH,16.38,15.75,2.52,7.35,2.1,2.1,46.2,11.9238,No,Winter,2016,1,2016,
ACCESSORIES,HATS,Accessories,Hat,47.4999,Uni,TH,17.43,15.75,0,5.25,0,2.1,40.53,6.9699,No,Winter,2016,1,2016,
_APPAREL,KNIT,Tops,Knit Top,85.134,Boy,VN,39.06,15.75,3.15,0,2.1,7.14,67.2,17.934,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Tops,Knit Top,70.4361,Boy,VN,27.51,15.75,3.15,0,2.1,7.14,55.65,14.7861,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Tops,Knit Top,66.7065,Girl,ID,21.84,15.96,0.84,11.76,2.1,0,52.5,14.2065,No,Winter,2015,1,2015,216
_APPAREL,KNIT,Tops,Knit Top,66.7065,Girl,ID,18.48,15.96,0,15.96,2.1,0,52.5,14.2065,No,Winter,2015,1,2015,216
_APPAREL,KNIT,Tops,Knit Top,66.7065,Girl,ID,21.84,16.17,0.84,11.55,2.1,0,52.5,14.2065,No,Winter,2015,1,2015,216
_APPAREL,KNIT,Tops,Knit Top,66.7065,Girl,ID,20.79,16.17,0,13.44,2.1,0,52.5,14.2065,No,Winter,2015,1,2015,216
_APPAREL,KNIT,Tops,Bodysuit,84.2394,Boy,TH,32.97,16.38,4.2,13.86,2.1,1.89,71.4,12.8394,No,Winter,2016,1,2016,
_APPAREL,KNIT,Tops,Bodysuit,72.0489,Boy,TH,25.83,16.38,4.2,10.5,2.1,1.89,60.9,11.1489,No,Winter,2016,1,2016,
_APPAREL,KNIT,Tops,Bodysuit,68.1471,Girl,TH,21.21,16.59,5.04,8.19,2.1,4.41,57.54,10.6071,No,Winter,2015,1,2015,
_APPAREL,KNIT,Tops,Polo/Rugby,104.6178,Boy,IN,56.7,16.8,5.46,0,1.47,2.52,82.95,21.6678,No,Winter,2015,1,2015,
_APPAREL,KNIT,Bottoms,Knit Pant,91.077,Boy,VN,45.15,16.8,10.5,0,0,0,72.45,18.627,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Tops,Polo/Rugby,114.1644,Boy,VN,54.6,16.8,11.55,0,2.1,3.15,88.2,25.9644,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Tops,Polos,101.0289,Boy,IN,46.2,16.8,5.46,0,1.47,10.5,80.43,20.5989,No,Winter,2015,1,2015,
_APPAREL,KNIT,Tops,Polos,101.0205,Boy,IN,46.2,16.8,5.46,0,1.47,10.5,80.43,20.5905,No,Winter,2015,1,2015,
_APPAREL,KNIT,Bottoms,Knit Pant,91.0686,Boy,VN,45.15,16.8,10.5,0,0,0,72.45,18.6186,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Tops,Polos,75.4509,Boy,VN,22.05,16.8,7.35,7.35,2.1,3.99,59.64,15.8109,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Tops,Polos,90.8334,Boy,VN,37.8,16.8,9.45,0,2.1,3.78,69.93,20.9034,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Tops,Bodysuit,68.6364,Boy,TH,22.47,16.8,3.78,8.82,2.1,3.99,57.96,10.6764,No,Winter,2015,1,2015,
_APPAREL,KNIT,Tops,Knit Top,66.7065,Girl,ID,23.1,16.8,0,10.5,2.1,0,52.5,14.2065,No,Winter,2015,1,2015,216
_APPAREL,KNIT,Tops,Knit Top,92.0157,Girl,VN,39.48,16.8,8.4,8.4,0,0,73.08,18.9357,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Knit Pant,89.2206,Girl,VN,37.8,16.8,6.3,6.3,2.1,2.1,71.4,17.8206,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Knit Pant,73.7352,Girl,VN,33.6,16.8,6.3,0,2.1,0,58.8,14.9352,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Pant,49.0917,Boy,CN,14.7,16.8,3.15,2.1,1.05,1.05,38.85,10.2417,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Bottoms,Pant,49.0917,Uni,CN,14.7,16.8,5.25,0,1.05,1.05,38.85,10.2417,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Bottoms,Skirt/Skort,80.9907,Girl,ID,39.48,16.8,9.87,0,1.68,5.04,72.87,8.1207,No,Winter,2015,1,2015,216
_APPAREL,KNIT,Bottoms,Pant,73.6092,Girl,TH,18.06,16.8,2.52,15.75,2.1,3.57,58.8,14.8092,No,Winter,2015,1,2015,
_APPAREL,KNIT,Bottoms,Pant,72.8343,Boy,TH,18.06,16.8,2.52,15.75,2.1,2.94,58.17,14.6643,No,Winter,2015,1,2015,
_APPAREL,KNIT,Bottoms,Pant,72.8343,Uni,TH,18.06,16.8,2.52,15.75,2.1,2.94,58.17,14.6643,No,Winter,2015,1,2015,
_APPAREL,KNIT,Skirts,Knit,55.2006,Girl,VN,18.9,16.8,4.2,0,1.26,5.04,46.2,9.0006,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Skirts,Knit,45.402,Girl,VN,14.91,16.8,3.78,0,1.26,1.05,37.8,7.602,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Tops,Knit Top,104.5905,Girl,ID,16.38,16.8,6.3,6.3,2.1,32.97,80.85,23.7405,No,Winter,2015,1,2015,216
ACCESSORIES,HATS,Accessories,Hat,93.7062,Girl,CN,45.57,16.8,1.68,10.5,0,6.3,80.85,12.8562,No,Winter,2015,1,2015,289.59276
ACCESSORIES,HATS,Accessories,Hat,87.6582,Girl,CN,42.42,16.8,1.68,4.2,0,6.3,75.6,12.0582,No,Winter,2015,1,2015,289.59276
ACCESSORIES,HATS,Accessories,Hat,86.4486,Girl,CN,46.62,16.8,1.68,3.15,0,6.3,74.55,11.8986,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Bottoms,Knit Pant,71.7339,Girl,VN,31.08,16.8,7.35,0,0,1.89,57.12,14.6139,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Bottoms,Knit Pant,60.3771,Girl,VN,21.84,16.8,7.35,0,0,1.89,47.88,12.4971,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Bottoms,Shorts/Diaper Cover,72.5088,Girl,VN,31.5,16.8,7.35,0,0,2.1,57.75,14.7588,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Bottoms,Knit Pant,60.3771,Girl,VN,22.26,16.8,7.35,0,0,1.47,47.88,12.4971,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Tops,Knit Top,86.3163,Girl,ID,42.21,16.8,4.2,0,2.1,2.94,68.25,18.0663,No,Winter,2016,1,2016,223.2
_APPAREL,KNIT,Bottoms,Knit Pant,94.4454,Girl,VN,49.35,16.8,7.98,0,0,1.47,75.6,18.8454,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Tops,Swim Top,98.49,Boy,VN,33.6,16.8,0,9.45,0,9.45,69.3,29.19,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Tops,Swim Top,92.61,Boy,VN,33.6,16.8,0,6.3,0,8.4,65.1,27.51,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Tops,Swim Top,80.4468,Boy,VN,25.2,16.8,0,9.45,0,8.4,56.7,23.7468,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Tops,Swim Top,89.229,Boy,VN,30.45,16.8,0,10.5,0,8.4,63,26.229,No,Winter,2016,1,2016,107.9616
SLEEPWEAR,SLEEP,Sleepwear,B Sleepwear,112.8141,Boy,IN,55.02,16.8,10.5,9.45,0,3.78,95.55,17.2641,No,Winter,2016,1,2016,140.305308
ACCESSORIES,SHOES,Shoes,KB Shoe,95.7852,Boy,CN,35.28,16.8,0,4.2,0,9.24,65.52,30.2652,No,Winter,2016,1,2016,309.31922
ACCESSORIES,SHOES,Shoes,KG Shoe,75.1464,Girl,CN,38.64,16.8,0,4.2,0,5.88,65.52,9.6264,No,Winter,2016,1,2016,309.31922
ACCESSORIES,SHOES,Shoes,BG Shoe,75.8205,Girl,CN,38.01,16.8,4.2,0,0,7.14,66.15,9.6705,No,Winter,2016,1,2016,309.31922
_APPAREL,KNIT,Dresses,Knit,111.762,Girl,KH,53.55,16.8,9.45,0,1.05,11.55,92.4,19.362,No,Winter,2016,1,2016,
_APPAREL,KNIT,Dresses,Knit,107.2449,Girl,ID,51.66,16.8,3.78,10.5,2.1,3.78,88.62,18.6249,No,Winter,2016,1,2016,223.2
ACCESSORIES,HAIR,Accessories,Hair,70.5684,Girl,CN,24.15,16.8,8.4,0,0,12.6,61.95,8.6184,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Accessories,Hair,49.644,Girl,CN,5.25,16.8,5.25,0,0,14.7,42,7.644,No,Winter,2016,1,2016,309.31922
ACCESSORIES,ACCESSORY,Accessories,Bib,79.6173,Uni,CN,11.34,16.8,5.25,8.4,0,26.46,68.25,11.3673,No,Winter,2016,1,2016,309.31922
_APPAREL,KNIT,Tops,Knit Top,61.1877,Girl,ID,15.96,17.01,1.47,11.76,2.1,0,48.3,12.8877,No,Winter,2015,1,2015,216
_APPAREL,KNIT,Tops,Knit Top,66.7065,Girl,ID,19.53,17.22,0,13.65,2.1,0,52.5,14.2065,No,Winter,2015,1,2015,216
_APPAREL,KNIT,Tops,Knit Top,66.7065,Girl,ID,19.95,17.22,0,13.23,2.1,0,52.5,14.2065,No,Winter,2015,1,2015,216
_APPAREL,KNIT,Bottoms,Knit Pant,67.7985,Girl,VN,28.35,17.22,8.4,0,0,0,53.97,13.8285,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Pant,52.7037,Girl,KH,17.01,17.43,1.47,0,2.1,3.78,41.79,10.9137,No,Winter,2015,1,2015,
_APPAREL,KNIT,Tops,Bodysuit,50.8368,Boy,CN,13.65,17.43,4.2,5.25,1.05,1.05,42.63,8.2068,No,Winter,2015,1,2015,289.59276
ACCESSORIES,SHOES,Shoes,KG Shoe,79.191,Girl,CN,40.32,17.43,3.15,4.2,0,4.2,69.3,9.891,No,Winter,2015,1,2015,289.59276
ACCESSORIES,SHOES,Shoes,BG Shoe,80.3145,Girl,CN,41.79,17.43,3.15,3.78,0,4.2,70.35,9.9645,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Tops,Bodysuit,64.7346,Girl,TH,22.47,17.43,2.1,8.4,2.1,2.1,54.6,10.1346,No,Winter,2016,1,2016,
_APPAREL,KNIT,Tops,Bodysuit,64.7346,Boy,TH,22.47,17.43,2.1,8.4,2.1,2.1,54.6,10.1346,No,Winter,2016,1,2016,
_APPAREL,KNIT,Tops,Bodysuit,62.2965,Uni,TH,20.37,17.43,2.1,8.4,2.1,2.1,52.5,9.7965,No,Winter,2016,1,2016,
_APPAREL,KNIT,Tops,Graphics,61.1184,Boy,IN,22.26,17.43,2.1,4.41,0.84,1.26,48.3,12.8184,No,Winter,2016,1,2016,140.305308
_APPAREL,KNIT,Tops,Knit Top,66.8325,Girl,VN,19.53,17.64,0,13.23,2.1,0,52.5,14.3325,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Tops,Fashion Top,68.4474,Girl,TH,24.15,17.64,2.1,10.29,2.1,2.52,54.6,13.8474,No,Winter,2016,1,2016,
ACCESSORIES,SOCKS,Socks,BG Fashion Sock,33.8835,Girl,TW,8.82,17.64,0,0,0,1.68,28.14,5.7435,No,Winter,2016,1,2016,
_APPAREL,KNIT,Bottoms,Knit Pant,105.714,Boy,VN,57.75,17.85,8.4,0,0,0,84,21.714,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Tops,Swim Top,76.6416,Boy,CN,28.35,17.85,0,12.6,0,1.68,60.48,16.1616,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Dresses,Knit,87.9228,Girl,ID,31.08,17.85,8.4,2.1,2.1,10.92,72.45,15.4728,No,Winter,2015,1,2015,216
SLEEPWEAR,SLEEP,Sleepwear,G Sleepwear,100.296,Girl,KH,30.87,17.85,8.4,7.35,0,15.33,79.8,20.496,No,Winter,2016,1,2016,
SLEEPWEAR,SLEEP,Sleepwear,G Sleepwear,107.6943,Girl,KH,52.5,17.85,13.65,0,0,7.35,91.35,16.3443,No,Winter,2016,1,2016,
ACCESSORIES,HAIR,Hair,Headbands,49.3584,Girl,CN,9.45,17.85,5.46,0,0,8.4,41.16,8.1984,No,Winter,2016,1,2016,309.31922
ACCESSORIES,SOCKS,Accessories,Sock,37.1994,Girl,TW,5.88,17.85,5.46,0,0,1.89,31.08,6.1194,No,Winter,2016,1,2016,
_APPAREL,KNIT,Tops,Knit Top,59.8878,Girl,IN,20.58,18.06,2.1,5.25,1.26,0,47.25,12.6378,No,Winter,2015,1,2015,
_APPAREL,KNIT,Tops,Bodysuit,70.8309,Boy,TH,21,18.06,4.2,12.6,2.1,1.89,59.85,10.9809,No,Winter,2016,1,2016,
_APPAREL,KNIT,Tops,Knit Top,66.7065,Girl,ID,21,18.27,0,11.13,2.1,0,52.5,14.2065,No,Winter,2015,1,2015,216
_APPAREL,KNIT,Tops,Knit Top,66.7065,Girl,ID,18.48,18.27,0,13.65,2.1,0,52.5,14.2065,No,Winter,2015,1,2015,216
_APPAREL,KNIT,Tops,Knit Top,71.9355,Girl,ID,23.1,18.27,0,13.23,2.1,0,56.7,15.2355,No,Winter,2015,1,2015,216
_APPAREL,KNIT,Tops,Knit Top,58.5858,Girl,ID,14.28,18.27,0,11.55,2.1,0,46.2,12.3858,No,Winter,2015,1,2015,216
_APPAREL,KNIT,Tops,Knit Top,58.5858,Girl,ID,12.18,18.27,0,13.65,2.1,0,46.2,12.3858,No,Winter,2015,1,2015,216
_APPAREL,KNIT,Tops,Knit Top,53.508,Girl,VN,16.38,18.27,0,5.25,2.1,0,42,11.508,No,Winter,2015,1,2015,100.85865
ACCESSORIES,SHOES,Shoes,KB Shoe,87.5049,Boy,CN,45.78,18.27,4.2,4.2,0,4.62,77.07,10.4349,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Tops,Knit Top,59.8038,Girl,IN,18.69,18.48,2.1,5.88,0.84,1.26,47.25,12.5538,No,Winter,2016,1,2016,140.305308
ACCESSORIES,SOCKS,Socks,BG Fashion Sock,34.6311,Girl,TW,8.61,18.48,0,0,0,1.68,28.77,5.8611,No,Winter,2016,1,2016,
ACCESSORIES,SHOES,Shoes,BB Shoe,88.4037,Boy,CN,46.2,18.69,4.2,4.2,0,4.62,77.91,10.4937,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Tops,Knit Top,75.8583,Girl,ID,22.47,18.69,0,16.59,2.1,0,59.85,16.0083,No,Winter,2016,1,2016,223.2
_APPAREL,KNIT,Tops,Knit Top,111.153,Girl,IN,23.52,18.9,2.1,42.42,1.26,0,88.2,22.953,No,Winter,2015,1,2015,
_APPAREL,KNIT,Bottoms,Knit Pant,107.0181,Boy,VN,57.75,18.9,8.4,0,0,0,85.05,21.9681,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Tops,Swim Top,78.9054,Boy,CN,31.08,18.9,0,11.55,0,1.05,62.58,16.3254,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Tops,Swim Top,79.4262,Boy,CN,30.45,18.9,0,12.6,0,1.05,63,16.4262,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Tops,Swim Top,108.5385,Boy,CN,47.67,18.9,0,17.85,0,1.68,86.1,22.4385,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Tops,Swim Top,90.237,Boy,CN,46.2,18.9,0,4.2,0,2.1,71.4,18.837,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Tops,Knit Top,79.779,Girl,ID,31.5,18.9,0,10.5,2.1,0,63,16.779,No,Winter,2015,1,2015,216
_APPAREL,KNIT,Bottoms,Skirt/Skort,74.5647,Girl,ID,36.75,18.9,3.15,0,2.1,6.09,66.99,7.5747,No,Winter,2015,1,2015,216
_APPAREL,KNIT,Tops,Bodysuit,62.2965,Boy,CN,21,18.9,4.2,6.3,1.05,1.05,52.5,9.7965,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Tops,Bodysuit,54.9822,Boy,CN,14.7,18.9,4.2,6.3,1.05,1.05,46.2,8.7822,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Bottoms,Pant,49.0917,Boy,CN,14.7,18.9,3.15,0,1.05,1.05,38.85,10.2417,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Tops,Bodysuit,54.9822,Uni,CN,14.7,18.9,4.2,6.3,1.05,1.05,46.2,8.7822,No,Winter,2015,1,2015,289.59276
_APPAREL,KNIT,Tops,Bodysuit,50.8368,Uni,CN,17.43,18.9,4.2,0,1.05,1.05,42.63,8.2068,No,Winter,2015,1,2015,289.59276
